X,Y,Z,Temperature
0.220488,0.194023,175,300
0.212187,0.194765,175,300
0.202783,0.20535,175,300
0.210045,0.203912,175,300
0.204283,0.21,175,300
0.211245,0.202585,175,300
0.210329,0.197213,175,300
0.204668,0.202079,175,300
0.375263,0.134027,175,300
0.372066,0.136935,175,300
0.372982,0.129933,175,300
0.373763,0.137926,175,300
0.38,0.135363,175,300
0.38,0.128011,175,300
0.377566,0.12623,175,300
0.371698,0.139231,175,300
0.368823,0.136593,175,300
0.368338,0.13011,175,300
0.372851,0.125915,175,300
0.365598,0.208934,175,300
0.367229,0.21,175,300
0.364717,0.21,175,300
0.370607,0.204421,175,300
0.364139,0.205533,175,300
-0.0625685,-0.0365324,175,300
-0.062141,-0.0391051,175,300
-0.0575066,-0.036465,175,300
-0.0350991,-0.0310548,175,300
-0.0468012,-0.0340642,175,300
-0.0388099,-0.039611,175,300
-0.0450401,-0.023915,175,300
-0.0501687,-0.0322723,175,300
-0.0509191,-0.0338501,175,300
-0.0471817,-0.0210316,175,300
-0.0525486,-0.0310479,175,300
-0.0490632,-0.0206646,175,300
-0.062823,-0.0243849,175,300
-0.0552152,-0.0448489,175,300
-0.0520587,-0.047071,175,300
-0.0774408,0.0631196,175,300
-0.0776865,0.0480049,175,300
-0.0656213,0.0623819,175,300
-0.0768388,0.0475113,175,300
-0.063852,0.0600756,175,300
-0.0778454,0.0472633,175,300
-0.0616557,0.0485306,175,300
-0.0838751,0.0265134,175,300
-0.0719747,0.0311988,175,300
-0.0773718,0.0462687,175,300
-0.0843356,0.0648656,175,300
-0.0929895,0.0513232,175,300
-0.0828838,0.0480028,175,300
-0.0784472,0.048359,175,300
-0.091975,0.0389711,175,300
-0.0881062,0.0267383,175,300
-0.07859,0.0467942,175,300
-0.0663435,0.038792,175,300
-0.0943484,0.048855,175,300
-0.0504561,0.146966,175,300
-0.0505809,0.147045,175,300
-0.0511305,0.146786,175,300
-0.0680006,0.139135,175,300
-0.0547164,0.137588,175,300
-0.0616176,0.156135,175,300
-0.0548362,0.150696,175,300
-0.0619303,0.156243,175,300
-0.0800341,0.158374,175,300
-0.0724336,0.141035,175,300
-0.0633919,0.125109,175,300
-0.0840676,0.145022,175,300
-0.0758513,0.134771,175,300
-0.0711396,0.137969,175,300
-0.0658447,0.123008,175,300
-0.0714662,0.123724,175,300
-0.0859716,0.134177,175,300
-0.0842792,0.128225,175,300
0.285424,0.0330316,175,300
0.288588,0.0330334,175,300
0.285413,0.0337163,175,300
0.291113,0.0563142,175,300
0.301261,0.0366882,175,300
0.282757,0.0509798,175,300
0.284808,0.0334519,175,300
0.301486,0.0546557,175,300
0.297422,0.0672115,175,300
0.305145,0.0640842,175,300
0.301503,0.0716784,175,300
0.289675,0.0712674,175,300
0.286737,0.0676632,175,300
-0.104793,0.00797684,175,300
-0.118201,0.0129434,175,300
-0.113805,0.000420806,175,300
-0.122279,0.00122701,175,300
-0.104977,-0.00421434,175,300
-0.0992096,-0.0148863,175,300
-0.0924458,-0.005412,175,300
-0.0993001,0.00565639,175,300
-0.119211,-0.0114345,175,300
-0.124113,-0.0100453,175,300
-0.121598,-0.015867,175,300
-0.113721,-0.0169905,175,300
0.118375,0.123214,175,304.029
0.102603,0.109566,175,315.782
0.10214,0.0948252,175,317.699
0.102146,0.0948332,175,317.692
0.102144,0.0948241,175,317.695
0.118439,0.0971575,175,304.025
0.112799,0.107784,175,306.583
0.122533,0.103825,175,301.977
0.123714,0.108194,175,301.627
-0.152121,-0.027638,175,300
-0.148642,-0.0340166,175,300
-0.140807,-0.0363425,175,300
-0.141277,-0.0236902,175,300
-0.158362,-0.0285752,175,300
-0.151693,-0.0213284,175,300
-0.127315,-0.0334294,175,300
-0.125978,-0.0171252,175,300
-0.139328,-0.022897,175,300
-0.140815,-0.0225352,175,300
-0.13992,-0.00687871,175,300
-0.138791,-0.00784821,175,300
-0.139824,-0.0359707,175,300
0.241571,0.160626,175,300
0.248102,0.159522,175,300
0.248623,0.163074,175,300
0.251987,0.160436,175,300
0.24226,0.171077,175,300
0.251307,0.164825,175,300
0.243667,0.145064,175,300
0.251829,0.151603,175,300
0.239968,0.17321,175,300
0.253866,0.173807,175,300
0.241407,0.174003,175,300
0.262265,0.162804,175,300
0.263694,0.168291,175,300
0.257151,0.156479,175,300
0.0186661,-0.0385793,175,300
0.0212899,-0.0378932,175,300
0.0198874,-0.0366842,175,300.002
0.019083,-0.0388674,175,300
0.0324797,-0.0336677,175,300.005
0.0321881,-0.0262309,175,300.033
0.0256572,-0.0292536,175,300.014
0.0389125,-0.0255219,175,300.054
0.0318893,-0.0351178,175,300
0.0245935,-0.0301884,175,300.01
0.0298348,-0.0430961,175,300
0.0344993,-0.0452851,175,300
0.0328839,-0.0356138,175,300
0.0329296,-0.0348461,175,300
0.0438995,-0.0384733,175,300.001
0.0441659,-0.0353078,175,300.002
0.0410036,-0.0264784,175,300.053
0.306224,0.176634,175,300
0.305098,0.180366,175,300
0.301311,0.179648,175,300
0.304902,0.185559,175,300
0.175656,0.090177,175,300.052
0.166238,0.0864945,175,300.234
0.174476,0.0841407,175,300.097
0.176715,0.085242,175,300.068
0.161134,0.0848838,175,300.466
0.165384,0.078561,175,300.639
0.161658,0.0755638,175,301.141
0.353105,0.139105,175,300
0.353274,0.146979,175,300
0.348658,0.14035,175,300
0.352766,0.137503,175,300
0.355421,0.140291,175,300
