X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.03,0.05,326.317,341.718,-15.40100000000001
0.03,0.055,325.665,341.678,-16.012999999999977
0.03,0.06,325.062,341.64,-16.577999999999975
0.03,0.065,324.507,341.604,-17.09699999999998
0.03,0.07,324.0,341.571,-17.571000000000026
0.03,0.075,323.54,341.539,-17.998999999999967
0.03,0.08,323.124,341.509,-18.38499999999999
0.03,0.085,322.754,341.482,-18.72800000000001
0.03,0.09,322.427,341.456,-19.028999999999996
0.03,0.095,322.144,341.432,-19.28800000000001
0.03,0.1,321.904,341.411,-19.507000000000005
0.025,-1.4399999999999999e-34,335.714,342.223,-6.5090000000000146
0.025,0.005,334.496,342.162,-7.665999999999997
0.025,0.01,333.34,342.103,-8.763000000000034
0.025,0.015,332.246,342.047,-9.801000000000045
0.025,0.02,331.212,341.992,-10.78000000000003
0.025,0.025,330.238,341.94,-11.701999999999998
0.025,0.03,329.321,341.89,-12.56899999999996
0.025,0.035,328.461,341.841,-13.379999999999995
0.025,0.04,327.656,341.795,-14.13900000000001
0.025,0.045,326.903,341.751,-14.847999999999956
0.025,0.05,326.203,341.709,-15.506000000000029
0.025,0.055,325.553,341.669,-16.115999999999985
0.025,0.06,324.953,341.631,-16.677999999999997
0.025,0.065,324.401,341.595,-17.194000000000017
0.025,0.07,323.896,341.561,-17.664999999999964
0.025,0.075,323.437,341.53,-18.09299999999996
0.025,0.08,323.023,341.5,-18.476999999999975
0.025,0.085,322.654,341.472,-18.817999999999984
0.025,0.09,322.329,341.447,-19.117999999999995
0.025,0.095,322.047,341.423,-19.375999999999976
0.025,0.1,321.808,341.402,-19.593999999999994
0.02,-1.1599999999999999e-34,335.546,342.211,-6.6650000000000205
0.02,0.005,334.328,342.151,-7.823000000000036
0.02,0.01,333.174,342.092,-8.918000000000006
0.02,0.015,332.082,342.035,-9.953000000000031
0.02,0.02,331.052,341.981,-10.928999999999974
0.02,0.025,330.081,341.928,-11.84699999999998
0.02,0.03,329.168,341.878,-12.70999999999998
0.02,0.035,328.311,341.83,-13.519000000000005
0.02,0.04,327.509,341.784,-14.274999999999977
0.02,0.045,326.76,341.74,-14.980000000000018
0.02,0.05,326.064,341.698,-15.633999999999958
0.02,0.055,325.417,341.658,-16.241000000000042
0.02,0.06,324.82,341.62,-16.80000000000001
0.02,0.065,324.27,341.584,-17.31400000000002
0.02,0.07,323.768,341.55,-17.78200000000004
0.02,0.075,323.311,341.518,-18.206999999999994
0.02,0.08,322.9,341.489,-18.589
0.02,0.085,322.533,341.461,-18.927999999999997
